year;centre;gap_pct;median_centres_pct;rank;centres_n;gap_to_median
2021;Республика Татарстан (Татарстан);8.32;4.91;25;72;1.69
2022;Республика Татарстан (Татарстан);12.12;8.02;27;75;1.51
2023;Республика Татарстан (Татарстан);21.5;11.16;13;75;1.93
2024;Республика Татарстан (Татарстан);46.18;18.88;3;77;2.45
2025;Республика Татарстан (Татарстан);50.94;17.84;3;76;2.86
2026;Республика Татарстан (Татарстан);30.0;21.33;17;76;1.41
