window;window_label;corr_levels;n_levels;corr_first_diff;n_first_diff;share_series
year;год целиком (по умолчанию);0.889;6;0.661;5;28.4 38.1 38.3 43.7 56.5 43.7
h1;I–II кварталы, окно ценового ряда;0.798;6;0.569;5;27.8 43.4 32.3 45.2 57.8 44.9
